Plot 3 2021-06-28T151158668.fcf

,,,,El1.Average,El2.Average,El3.Average
Emissivity,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Distance,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Reflected temperature,,,,22.9999942779541,22.9999942779541,22.9999942779541
Location X,,,,148,250,351
Location Y,,,,242,244,245
Size X,,,,19,17,17
Size Y,,,,14,14,12
Surface (pixels),,,,199,175,151

Date,Time,Milliseconds,Relative time,El1.Average,El2.Average,El3.Average
28/06/2021,15:11:58,440,0,163.679355947217,161.785029209682,161.909780034956
28/06/2021,15:11:58,440,0,163.679355947217,161.785029209682,161.909780034956
28/06/2021,15:11:58,600,0.16,163.738987984969,161.869136701311,161.933258056641
28/06/2021,15:11:58,760,0.32,163.666732634731,161.843076084682,161.743126875517
28/06/2021,15:11:58,920,0.48,163.659715125309,161.795691005162,161.810334565624
28/06/2021,15:11:59,080,0.64,163.660579432195,161.779747140067,161.701862663623
28/06/2021,15:11:59,240,0.8,163.653052401902,161.841822858538,161.988200307682
28/06/2021,15:11:59,400,0.96,163.669649670472,161.852904750279,161.865076633479
28/06/2021,15:11:59,560,1.12,163.557906107687,161.784007829939,161.703554166074
28/06/2021,15:11:59,720,1.28,163.713404899866,161.795338134766,161.756643737389
28/06/2021,15:11:59,880,1.44,163.812183552651,161.715780203683,161.732541317971
28/06/2021,15:12:00,040,1.6,163.604166615548,161.701829659598,161.653813646329
28/06/2021,15:12:00,200,1.76,163.660495240485,161.610980660575,161.580963033714
28/06/2021,15:12:00,360,1.92,163.509744385379,161.652982962472,161.49655777887
28/06/2021,15:12:00,520,2.08,163.630843886179,161.585677577427,161.655044858819
28/06/2021,15:12:00,680,2.24,163.684122133495,161.666153913225,161.602563415932
28/06/2021,15:12:00,840,2.4,163.669924712061,161.687580827985,161.76682943382
28/06/2021,15:12:01,000,2.56,163.620634682813,161.695245884487,161.665140114083
28/06/2021,15:12:01,160,2.72,163.533205885384,161.692002825056,161.515061435321
28/06/2021,15:12:01,320,2.88,163.629214109488,161.586798270089,161.632229836571
28/06/2021,15:12:01,480,3.04,163.571552219103,161.52972089495,161.554771170711
28/06/2021,15:12:01,640,3.2,163.562280779508,161.645401349749,161.561132974183
28/06/2021,15:12:01,800,3.36,163.507716346626,161.483417532785,161.586390918454
28/06/2021,15:12:01,960,3.52,163.569786416825,161.534347098214,161.46952041727
28/06/2021,15:12:02,120,3.68,163.626601099369,161.591136300223,161.527588395883
28/06/2021,15:12:02,280,3.84,163.616920662885,161.528575526646,161.483416424682
28/06/2021,15:12:02,440,4,163.625503540039,161.584382847377,161.535637558691
28/06/2021,15:12:02,600,4.16,163.53576897856,161.559297223772,161.486466161463
28/06/2021,15:12:02,760,4.32,163.594498830824,161.649633265904,161.540519259623
28/06/2021,15:12:02,920,4.48,163.710943710864,161.457213396345,161.416437010102
28/06/2021,15:12:03,080,4.64,163.599424352598,161.536171526228,161.469925027809
28/06/2021,15:12:03,240,4.8,163.697126378965,161.536912493025,161.467358418648
28/06/2021,15:12:03,400,4.96,163.654794280853,161.620881696429,161.409979813936
28/06/2021,15:12:03,560,5.12,163.611628700141,161.600688999721,161.496004622504
28/06/2021,15:12:03,720,5.28,163.582020208464,161.546518293108,161.558568891311
28/06/2021,15:12:03,880,5.44,163.550209160426,161.441631905692,161.556640523948
28/06/2021,15:12:04,040,5.6,163.581828591812,161.481566598075,161.554432748959
28/06/2021,15:12:04,200,5.76,163.69987572138,161.549908272879,161.645624324975
28/06/2021,15:12:04,360,5.92,163.69938398965,161.685426199777,161.678899701857
28/06/2021,15:12:04,520,6.08,163.787927828841,161.599583217076,161.571387183587
28/06/2021,15:12:04,680,6.24,163.62385559082,161.503380301339,161.535887661359
28/06/2021,15:12:04,840,6.4,163.634784717656,161.519295654297,161.509296442499
28/06/2021,15:12:05,000,6.56,163.559303245353,161.450375366211,161.386734918253
28/06/2021,15:12:05,160,6.72,163.654433130619,161.404549386161,161.435931275222
28/06/2021,15:12:05,320,6.88,163.636585254765,161.495378766741,161.378316209806
28/06/2021,15:12:05,480,7.04,163.710277614881,161.46031930106,161.444464374062
28/06/2021,15:12:05,640,7.2,163.635479720993,161.435799734933,161.394897460938
28/06/2021,15:12:05,800,7.36,163.654330919735,161.422521100725,161.385305846764
28/06/2021,15:12:05,960,7.52,163.613389288361,161.458452845982,161.413064817719
28/06/2021,15:12:06,120,7.68,163.572893919058,161.310280674526,161.368710246307
28/06/2021,15:12:06,280,7.84,163.49797847882,161.373672572545,161.306003090562
28/06/2021,15:12:06,440,8,163.595909387023,161.554719238281,161.395480831727
28/06/2021,15:12:06,600,8.16,163.561867718721,161.380854928153,161.327443609175
28/06/2021,15:12:06,760,8.32,163.53994796983,161.262032121931,161.294109521323
28/06/2021,15:12:06,920,8.48,163.680838350076,161.38585004534,161.394264776975
28/06/2021,15:12:07,080,8.64,163.7161852966,161.441195678711,161.395218906024
28/06/2021,15:12:07,240,8.8,163.541126730454,161.483933192662,161.452795874994
28/06/2021,15:12:07,400,8.96,163.525777385462,161.388865705218,161.345209993274
28/06/2021,15:12:07,560,9.12,163.609200865779,161.384225638253,161.300105821218
28/06/2021,15:12:07,720,9.28,163.588928145979,161.297946079799,161.265404202291
28/06/2021,15:12:07,880,9.44,163.697393369435,161.486155482701,161.491994592528
28/06/2021,15:12:08,040,9.6,163.729631356858,161.385181623186,161.426732852759
28/06/2021,15:12:08,200,9.76,163.725959279429,161.345781598772,161.307709144441
28/06/2021,15:12:08,360,9.92,163.620213954293,161.28832938058,161.338160230624
28/06/2021,15:12:08,520,10.08,163.633996244651,161.379306640625,161.251597221324
28/06/2021,15:12:08,680,10.24,163.752897483021,161.259761265346,161.311904806175
28/06/2021,15:12:08,840,10.4,163.640594482422,161.33967250279,161.33840063234
